temperature,correlation,num_instances
0.1,0.14195669231273525,140
0.1585,0.12768081688627245,140
0.2512,0.11924296995273219,140
0.3981,0.13342113809338998,140
0.6309,0.19679428497490414,140
1.0,0.26875598449858856,140
1.5849,0.025615548688381395,140
2.5119,-0.07684996668654336,140
3.9811,-0.09038127747867974,140
6.3096,-0.08815881015083576,140
10.0,-0.0840534221936341,140
