spec_name,seed,horizon,num_actions,H_hat,kappa_uniform,kappa_piG,J_uniform,J_piG,J_star
T2_A2,3653403231,2,2,4.0,0.9310016264199817,0.014130013360524028,1.475841952521468,1.8297121436047674,2.0292773869833103
T2_A2,2735729615,2,2,6.0,1.1111224069934107,0.021033423094977226,1.564343765546053,2.2068625360909637,2.3078461390164238
T2_A2,2195314465,2,2,8.0,1.8583987283203902,0.04989958135051573,1.5983281385040409,1.8269490782990727,1.9785798293977277
T2_A2,1158725112,2,2,6.0,0.48302210994780853,0.002546112183435111,1.2978664118611976,1.4223352909655065,1.5814407536909312
T2_A2,1322117304,2,2,5.0,0.8458936978251432,0.008102648640743802,1.4871930153496666,2.0291082869853283,2.2320389759626744
T2_A2,175979945,2,2,2.0,2.423025911198329,0.0014258304087511988,1.2498519849402248,2.1340241238855593,2.3375847264695646
T2_A2,323153949,2,2,5.0,1.330553965396937,0.0011421192780300647,1.635119013767086,2.3139181480669544,2.481409666372473
T2_A2,70985654,2,2,5.0,0.39060492004114106,0.019322410653347576,1.406647432664368,1.7339413590140567,2.098610445957401
T2_A2,752767291,2,2,4.0,0.2297224035280249,0.013560469744579454,2.047496479542728,2.2567300902340515,2.534426615362138
T2_A2,3492969080,2,2,4.0,0.7154965117629558,2.510808053731195e-05,1.6040917108460517,2.0066302497564568,2.235285088409703
T2_A2,2789219406,2,2,4.0,0.32059097752547216,0.014652882540725108,1.3961929339041763,1.6240660673325418,1.9324056477595013
T2_A2,3920255353,2,2,6.0,0.32132346286508984,0.018703943736724925,1.4104333694562665,1.5840664546172307,1.8917678892062288
T2_A2,2163061375,2,2,3.0,0.425341967993478,0.01884534255190092,1.545517676835446,1.9286793377676266,2.313915437224707
T2_A2,2605480817,2,2,7.0,0.6034452552275404,0.057601868860163274,1.1906642477274854,1.4167060574483747,1.6105303752594384
T2_A2,4169308741,2,2,4.0,0.23754420812460633,0.007093886719366129,1.899547129037465,2.0900003446608477,2.4868904709176216
T2_A2,3133163871,2,2,3.0,0.5953872516164185,0.0026231223623193207,1.9732534844313743,2.512434863275578,2.8869818144958264
T2_A2,2715582399,2,2,5.0,0.7125728925255223,0.006622959555152789,1.516789332255354,1.9299908743573777,2.115125113339744
T2_A2,2334851559,2,2,2.0,2.999273074624711,0.007909055721135542,1.1650541694438734,2.0444946913688646,2.193058753411167
T2_A2,2404827117,2,2,4.0,0.48031828726797815,0.016114427522407358,1.7985888091546782,2.0985710379638234,2.3611997928937827
T2_A2,4016105479,2,2,4.0,1.0631465395795834,0.009109330617566271,1.5861461841085716,2.0924900983175494,2.39880687715245
T3_A2,2242647589,3,2,5.0,0.7297465713957382,0.020469402929877062,2.161910115043077,2.541787996579553,2.8879362455156086
T3_A2,3821399010,3,2,5.0,1.2998153430437784,0.00514556716908974,2.1258574767072007,2.742641300775544,3.0842128977751617
T3_A2,4264680396,3,2,4.0,1.378269503758196,0.031878166250281455,2.0122992113863516,2.545412683300348,3.0518814702043153
T3_A2,2392889704,3,2,7.0,1.42237090512705,0.009039919818152761,1.8342520986982622,2.28559093311479,2.779685518155036
T3_A2,1301146046,3,2,8.0,1.7328535951274022,0.11298957002365219,1.6987681483400985,2.4972179614318,2.7102611559004623
T3_A2,3439874040,3,2,5.0,1.9285290172594696,0.007900503293736432,1.9573272724148505,2.438544958173206,2.6255035039111125
T3_A2,982227334,3,2,4.0,0.953489313322146,0.01709133574277799,1.7439001974737816,2.349497687594761,2.720264692547413
T3_A2,4108195564,3,2,7.0,0.46975904135456054,0.01002595732685192,2.0850617772766453,2.395900314740972,2.618165566645527
T3_A2,3828018002,3,2,4.0,0.8137495518210981,0.0644652604107441,2.194457471938528,2.63868552677047,2.9449982711683527
T3_A2,251750195,3,2,7.0,0.6304604639080013,0.02261070303930665,2.4012828959678405,2.685200022986509,2.9432316798158222
T3_A2,272133842,3,2,9.0,0.5483021218733432,0.07767747911724739,1.6069783640133164,1.7606617535036966,2.066649062278711
T3_A2,1015333255,3,2,5.0,1.1449069824749052,0.016626082138702675,1.7519839852191788,2.4427763702895673,2.797336310852822
T3_A2,1077298781,3,2,7.0,0.2624463352761208,0.011244048506002271,2.3270512788695012,2.5161130091729564,2.8907803814105195
T3_A2,3383627625,3,2,7.0,0.8889556512481533,0.032257180930957426,2.3750965353837037,2.9598006572442834,3.3011476774201713
T3_A2,1087800620,3,2,6.0,1.0018957968344324,0.1520976559943938,1.6041835751728852,2.0562211991366093,2.5975946263526595
T3_A2,1323882,3,2,5.0,2.6587735170515114,0.015613815832807142,1.7241187839528815,2.9346032521322605,3.1057485657509107
T3_A2,166436861,3,2,5.0,0.9716942395959195,0.021143702521686087,1.9282323740536382,2.398157454566413,2.610562555148787
T3_A2,3116956866,3,2,6.0,1.1351760311746273,0.01190115825356917,2.175247149229442,2.836258362061017,3.229914833812308
T3_A2,4110647490,3,2,9.0,0.9462375842198443,0.017964552654868498,1.6138869448500601,1.9666326489368338,2.1880905769453696
T3_A2,2657582573,3,2,3.0,0.5212419886626933,0.005013365042433243,1.9111041474727402,2.3227912327378486,2.8690189471357765
T4_A2,4206763307,4,2,5.0,0.8886488881955896,0.02644229034404262,2.647733370064767,3.1853955471907986,3.6537074658228796
T4_A2,347136604,4,2,6.0,1.5471745494136886,0.05948535895987643,2.950760667520076,3.5051745244209433,4.125381306414332
T4_A2,1232261001,4,2,5.0,1.3978385048686597,0.059919812502757054,2.5738193504643494,3.2672310026280966,3.785058572638725
T4_A2,1728457155,4,2,7.0,0.8800431374725497,0.025198706997637235,2.2963199862025205,2.808153798679773,3.332517696852536
T4_A2,983566164,4,2,8.0,0.9609751344554099,0.047453346080740276,2.7840547617184526,3.226156018712647,3.626360540897349
T4_A2,2582517476,4,2,3.0,1.3305317697991885,0.0959920970051375,2.3522727658873515,3.2096854439555775,4.021339716122953
T4_A2,3832758438,4,2,6.0,1.4847204066154203,0.007994554629006145,2.5594713615112057,3.180134398160253,3.5586712038844714
T4_A2,623200764,4,2,8.0,0.738578716628455,0.04714830926520675,2.525879787142628,2.922160209697046,3.318514876374776
T4_A2,1873221527,4,2,7.0,2.25383162633041,0.08943916224310193,2.3211500257874578,3.1313442506667917,3.4757218986924823
T4_A2,495290062,4,2,8.0,1.8305992853696125,0.01326068173244404,2.774390503773907,3.8145063902121703,4.235930219042846
T4_A2,209939332,4,2,5.0,1.3807586237486607,0.018203621520815977,2.5141940496003117,3.377215188148548,3.779982118067988
T4_A2,1404191028,4,2,6.0,0.851540378310078,0.07522282775759472,2.5264973007226876,3.040022084773411,3.486367370774489
T4_A2,4110326245,4,2,8.0,0.8655363735949485,0.07800221842456642,2.1598298567869247,2.6475689550609767,3.1883440086248607
